,model,original_score_v2_0,original_score_v2_1,attacked_score_v2_0_PGD,attacked_score_v2_1_PGD,attacked_score_v2_0_FGSM,attacked_score_v2_1_FGSM,decrease_rate_v2_0_PGD,decrease_rate_v2_1_PGD,decrease_rate_v2_0_FGSM,decrease_rate_v2_1_FGSM
120,scores\dreamlike_photoreal,0.2783,0.2421,0.2421,0.1865,0.2646,0.2283,0.1300754581386992,0.22965716646014048,0.04922745238950769,0.05700123915737301
121,scores\dreamlike_photoreal,0.2776,0.2318,0.2312,0.1686,0.2578,0.2085,0.16714697406340065,0.272648835202761,0.07132564841498573,0.10051768766177746
122,scores\dreamlike_photoreal,0.2993,0.2778,0.2418,0.1823,0.2737,0.2465,0.19211493484797867,0.343772498200144,0.08553291012362182,0.11267098632109429
123,scores\dreamlike_photoreal,0.2827,0.2568,0.2505,0.2073,0.268,0.2462,0.11390166253979485,0.19275700934579426,0.051998585072515,0.04127725856697808
124,scores\dreamlike_photoreal,0.2979,0.3,0.2432,0.237,0.2756,0.278,0.18361866398120175,0.21000000000000002,0.07485733467606574,0.07333333333333322
125,scores\dreamlike_photoreal,0.276,0.2444,0.2405,0.195,0.2583,0.2222,0.1286231884057972,0.20212765957446807,0.06413043478260887,0.09083469721767592
126,scores\dreamlike_photoreal,0.308,0.319,0.249,0.1926,0.2893,0.3013,0.19155844155844154,0.3962382445141066,0.0607142857142857,0.055485893416927876
127,scores\dreamlike_photoreal,0.2869,0.2542,0.2277,0.1871,0.2598,0.2223,0.20634367375392115,0.2639653815892998,0.09445799930289304,0.12549173878835557
128,scores\dreamlike_photoreal,0.316,0.3713,0.2832,0.3184,0.2974,0.359,0.10379746835443036,0.14247239429033126,0.0588607594936709,0.033126851602477865
129,scores\dreamlike_photoreal,0.314,0.3503,0.2703,0.2654,0.291,0.339,0.13917197452229305,0.24236368826719948,0.07324840764331217,0.03225806451612897
130,scores\dreamlike_photoreal,0.314,0.3518,0.2793,0.29,0.2942,0.3347,0.11050955414012742,0.17566799317794207,0.06305732484076428,0.04860716316088688
131,scores\dreamlike_photoreal,0.3105,0.3472,0.2737,0.2776,0.2905,0.3281,0.11851851851851852,0.20046082949308755,0.06441223832528187,0.05501152073732721
132,scores\dreamlike_photoreal,0.3193,0.356,0.2788,0.2842,0.2974,0.3367,0.12683996241778886,0.2016853932584269,0.06858753523332282,0.05421348314606737
133,scores\dreamlike_photoreal,0.3093,0.3513,0.2722,0.2778,0.2856,0.329,0.11994827028774659,0.20922288642186168,0.0766246362754607,0.06347850839738112
134,scores\dreamlike_photoreal,0.3098,0.3442,0.271,0.2742,0.2913,0.3345,0.12524209167204647,0.2033701336432307,0.05971594577146551,0.028181289947704784
135,scores\dreamlike_photoreal,0.305,0.3252,0.2727,0.2725,0.2861,0.3135,0.10590163934426228,0.16205412054120533,0.06196721311475401,0.03597785977859775
136,scores\dreamlike_photoreal,0.2632,0.2578,0.2451,0.2244,0.254,0.247,0.06876899696048624,0.12955779674166015,0.034954407294832776,0.04189294026377028
137,scores\dreamlike_photoreal,0.2715,0.2795,0.252,0.2546,0.2588,0.265,0.07182320441988956,0.08908765652951711,0.04677716390423589,0.05187835420393564
